,English words/sentences,Spanish,French,German
25,A dog can run faster than a man can.,Un perro puede correr más rápido que un hombre.,Un chien peut fonctionner plus vite qu'un homme.,Ein Hund kann schneller laufen als ein Mann.
26,Fact is stranger than fiction.,La realidad es más extraña que la ficción.,Le fait est plus étranger que la fiction.,Tatsache ist seltsamer als Fiktion.
27,Are you looking?,¿Estás viendo?,Est-ce que tu regardes?,Schaust du?
28,You must realize that prosperity does not last forever.,Debes darte cuenta de que la prosperidad no dura para siempre.,Vous devez réaliser que la prospérité ne dure pas éternellement.,"Sie müssen erkennen, dass der Wohlstand nicht ewig hält."
29,I did something stupid.,Hice algo estúpido.,J'ai fait quelque chose de stupide.,Ich habe etwas Dummes gemacht.
30,Tom was my neighbor for three years.,Tom fue mi vecino durante tres años.,Tom était mon voisin pendant trois ans.,Tom war drei Jahre mein Nachbar.
31,You're free to say what you think.,Eres libre de decir lo que piensas.,Vous êtes libre de dire ce que vous pensez.,"Sie können frei sagen, was Sie denken."
32,It seemed like you weren't interested.,Parecía que no estabas interesado.,Il semblait que vous n'étiez pas intéressé.,"Es schien, als wären Sie nicht interessiert."
33,Tom has a ranch.,Tom tiene un rancho.,Tom a un ranch.,Tom hat eine Ranch.
34,We've just arrived.,Acabamos de llegar.,Nous venons d'arriver.,Wir sind gerade angekommen.
35,He slipped on a banana peel.,Se deslizó sobre una cáscara de plátano.,Il a glissé sur une peau de banane.,Er schlüpfte auf eine Bananenschale.
36,You look like a lawyer.,Pareces un abogado.,Vous ressemblez à un avocat.,Du siehst aus wie ein Anwalt.
37,The dog was in a box under the table.,El perro estaba en una caja debajo de la mesa.,Le chien était dans une boîte sous la table.,Der Hund war in einer Schachtel unter dem Tisch.
38,I know Tom had to do that.,Sé que Tom tuvo que hacer eso.,Je sais que Tom a dû faire ça.,"Ich weiß, dass Tom das tun musste."
39,This isn't over yet.,Esto aún no ha terminado.,Ce n'est pas encore fini.,Das ist noch nicht vorbei.
40,We didn't plan this.,No planeamos esto.,Nous n'avons pas planifié cela.,Wir haben das nicht geplant.
41,Is there hot water?,¿Hay agua caliente?,Y a-t-il de l'eau chaude?,Gibt es heißes Wasser?
42,Does anyone want a beer?,¿Alguien quiere una cerveza?,Quelqu'un veut-il une bière?,Möchte jemand ein Bier?
43,Children want to act like grown-ups.,Los niños quieren actuar como adultos.,Les enfants veulent agir comme des adultes.,Kinder wollen sich wie Erwachsene verhalten.
44,He will be here today.,Estará aquí hoy.,Il sera ici aujourd'hui.,Er wird heute hier sein.
45,I think that was really bad.,Creo que eso fue realmente malo.,Je pense que c'était vraiment mauvais.,"Ich denke, das war wirklich schlecht."
46,"You're not really a millionaire, are you?","Realmente no eres millonario, ¿verdad?","Vous n'êtes pas vraiment millionnaire, n'est-ce pas?","Du bist kein Millionär, oder?"
47,I usually walk to school.,Normalmente camino a la escuela.,Je vais à l'école à pied généralement.,Normalerweise laufe ich zur schule.
48,You need to lose some weight.,Necesitas perder algo de peso.,Vous devez perdre du poids.,Sie müssen etwas Gewicht verlieren.
49,I got up very early this morning.,Me levanté muy temprano esta mañana.,Je me suis levé très tôt ce matin.,Ich bin heute Morgen sehr früh aufgestanden.
50,I'm not going to make the same mistake as last time.,No voy a cometer el mismo error que la última vez.,Je ne vais pas faire la même erreur que la dernière fois.,Ich werde nicht den gleichen Fehler machen wie beim letzten Mal.
51,I'm in fair shape.,Estoy en forma justa.,Je suis en forme.,Ich bin in fairer Form.
52,I think you know that's not true.,Creo que sabes que eso no es cierto.,Je pense que vous savez que ce n'est pas vrai.,"Ich denke du weißt, dass das nicht wahr ist."
53,He should get to the office in an hour.,Debería llegar a la oficina en una hora.,Il devrait se rendre au bureau dans une heure.,Er sollte in einer Stunde ins Büro kommen.
54,About how many books do you have?,¿Aproximadamente cuántos libros tienes?,Combien de livres avez-vous?,Wie viele Bücher haben Sie?
55,I cannot put up with her behavior.,No puedo soportar su comportamiento.,Je ne peux pas supporter son comportement.,Ich kann ihr Verhalten nicht abfinden.
56,Don't open the door for anyone.,No abra la puerta a nadie.,N'ouvrez la porte à personne.,Öffne die Tür für niemanden.
57,I'm afraid of drowning.,Tengo miedo de ahogarse.,J'ai peur de se noyer.,Ich habe Angst vor Ertrinken.
58,His music is too noisy.,Su música es demasiado ruidosa.,Sa musique est trop bruyante.,Seine Musik ist zu laut.
59,She's loved by her friends.,Ella es amada por sus amigos.,Elle est aimée par ses amis.,Sie wird von ihren Freunden geliebt.
60,You know Tom better than anybody.,Conoces a Tom mejor que nadie.,Vous connaissez Tom mieux que quiconque.,Sie kennen Tom besser als jeder andere.
61,I have to hide this bag.,Tengo que esconder esta bolsa.,Je dois cacher ce sac.,Ich muss diese Tasche verstecken.
62,Where's the beach?,¿Dónde está la playa?,Où est la plage?,Wo ist der Strand?
63,I will try to live up to your expectations.,Intentaré cumplir con sus expectativas.,J'essaierai de répondre à vos attentes.,"Ich werde versuchen, Ihre Erwartungen zu erfüllen."
64,Use it or lose it.,Úsalo o pierdelo.,Utilise le ou perd le.,Benutze es oder verliere es.
65,He pulled my shirt.,Me tiró de la camisa.,Il a tiré ma chemise.,Er zog mein Hemd.
66,What have I told you?,¿Qué te he dicho?,Qu'est-ce que je t'ai dit?,Was habe ich dir gesagt?
67,Discretion is the better part of valor.,La discreción es la mejor parte del valor.,La discrétion est la meilleure partie de la valeur.,Diskretion ist der bessere Teil der Tapferkeit.
68,Children are our future.,Los niños son nuestro futuro.,Les enfants sont notre avenir.,Kinder sind unsere Zukunft.
69,We criticized the photographer for not rescuing the child first.,Criticamos al fotógrafo por no rescatar al niño primero.,Nous avons critiqué le photographe pour ne pas avoir sauvé l'enfant en premier.,"Wir kritisierten den Fotografen dafür, dass wir das Kind nicht zuerst gerettet haben."
70,I think it's necessary for him to go there.,Creo que es necesario que él vaya allí.,Je pense qu'il est nécessaire pour lui d'y aller.,"Ich denke, es ist notwendig, dass er dorthin geht."
71,"I contacted them the other day, but I was not able to get an answer.","Los contacté el otro día, pero no pude obtener una respuesta.","Je les ai contactés l'autre jour, mais je n'ai pas pu obtenir de réponse.","Ich habe sie neulich kontaktiert, aber ich konnte keine Antwort bekommen."
72,I have an apology to make.,Tengo una disculpa que hacer.,J'ai des excuses à faire.,Ich habe eine Entschuldigung.
73,There isn't any milk in the glass.,No hay leche en el vaso.,Il n'y a pas de lait dans le verre.,Es gibt keine Milch im Glas.
74,She isn't good enough for him.,Ella no es lo suficientemente buena para él.,Elle n'est pas assez bonne pour lui.,Sie ist nicht gut genug für ihn.
75,Oh my God! What are you doing!?,¡Ay dios mío! ¿¡Qué estás haciendo!?,Oh mon Dieu! Que faites-vous!?,Oh mein Gott! Was machst du!?
76,I'm a little hungry.,Tengo un poco de hambre.,J'ai un peu faim.,Ich bin ein bisschen hungrig.
77,We're a little busy here.,Estamos un poco ocupados aquí.,Nous sommes un peu occupés ici.,Wir sind hier ein bisschen beschäftigt.
78,He is an angry drunk.,Es un borracho enojado.,C'est un ivrogne en colère.,Er ist ein wütender Betrunkener.
79,Tom said that Mary was disorganized.,Tom dijo que Mary estaba desorganizada.,Tom a dit que Mary était désorganisée.,"Tom sagte, Mary sei unorganisiert."
80,I need a vacation!,¡Necesito vacaciones!,J'ai besoin de vacances!,Ich brauche Urlaub!
81,No one would listen.,Nadie escucharía.,Personne n'écouterait.,Niemand würde zuhören.
82,I feel like going on a trip.,Tengo ganas de hacer un viaje.,J'ai envie d'aller en voyage.,Ich möchte auf eine Reise gehen.
83,Tom told me that he would leave soon.,Tom me dijo que se iría pronto.,Tom m'a dit qu'il partirait bientôt.,"Tom sagte mir, dass er bald gehen würde."
84,Your proposal is a bit extreme.,Su propuesta es un poco extrema.,Votre proposition est un peu extrême.,Ihr Vorschlag ist etwas extrem.
85,"I was going to call him, but thought better of it.","Iba a llamarlo, pero lo pensé mejor.","J'allais l'appeler, mais j'ai pensé mieux.","Ich wollte ihn anrufen, dachte aber besser darüber nach."
86,They're outside.,Están afuera.,Ils sont dehors.,Sie sind draußen.
87,I want to stay a few days.,Quiero quedarme unos días.,Je veux rester quelques jours.,Ich möchte ein paar Tage bleiben.
88,I was born prematurely.,Nací prematuramente.,Je suis né prématurément.,Ich wurde vorzeitig geboren.
89,I'm not a professional.,No soy un profesional.,Je ne suis pas un professionnel.,Ich bin kein Profi.
90,I put a knife on the table.,Puse un cuchillo en la mesa.,J'ai mis un couteau sur la table.,Ich legte ein Messer auf den Tisch.
91,May I start eating now?,¿Puedo empezar a comer ahora?,Puis-je commencer à manger maintenant?,Darf ich jetzt anfangen zu essen?
92,She has just finished washing dishes.,Ella acaba de terminar de lavar los platos.,Elle vient de terminer la vaisselle.,Sie hat gerade das Waschen des Geschirrs beendet.
93,"Tom went to his room, changed into his pajamas, and got into bed.","Tom fue a su habitación, se puso en pijama y se metió en la cama.","Tom est allé dans sa chambre, s'est changé en pyjama et s'est couché.","Tom ging in sein Zimmer, zog in seinen Schlafanzug und stieg ins Bett."
94,You'd better take care of it soon.,Será mejor que lo cuides pronto.,Vous feriez mieux de vous en occuper bientôt.,Sie sollten sich bald besser darum kümmern.
95,Every part of the island has been explored.,Cada parte de la isla ha sido explorada.,Chaque partie de l'île a été explorée.,Jeder Teil der Insel wurde untersucht.
96,They're both beautiful.,Ambos son hermosos.,Ils sont tous les deux beaux.,Sie sind beide schön.
97,What else do you plan to do?,¿Qué más planeas hacer?,Que prévoyez-vous de faire d'autre?,Was haben Sie sonst noch vor?
98,He got up and left in the middle of the discussion.,Se levantó y se fue en medio de la discusión.,Il s'est levé et est parti au milieu de la discussion.,Er stand auf und ging mitten in der Diskussion.
99,Where did you park the truck?,¿Dónde estacionaste el camión?,Où avez-vous garé le camion?,Wo hast du den LKW geparkt?
100,I don't know how we're going to do that.,No sé cómo vamos a hacer eso.,Je ne sais pas comment nous allons faire ça.,"Ich weiß nicht, wie wir das machen werden."
101,I am so sorry.,Lo siento mucho.,Je suis vraiment désolé.,Es tut mir so leid.
102,We were worried we might miss the train.,Nos preocupaba que pudiéramos perder el tren.,Nous craignons de manquer le train.,"Wir befürchteten, wir könnten den Zug vermissen."
103,I like being part of this group.,Me gusta ser parte de este grupo.,J'aime faire partie de ce groupe.,"Ich mag es, Teil dieser Gruppe zu sein."
104,You must make allowance for his lack of experience.,Debes tener en cuenta su falta de experiencia.,Vous devez faire une allocation pour son manque d'expérience.,Sie müssen die Zulage für seine mangelnde Erfahrung machen.
105,My cats will love this.,A mis gatos les encantará esto.,Mes chats adoreront ça.,Meine Katzen werden das lieben.
106,Have you already done that?,¿Ya has hecho eso?,Avez-vous déjà fait cela?,hast du es schon gemacht?
107,Are you looking for something in particular?,¿Estás buscando algo en particular?,Cherchez-vous quelque chose en particulier?,Suchst Du was Bestimmtes?
108,"As a writer, she does not fit into any of the traditional categories.","Como escritora, ella no encaja en ninguna de las categorías tradicionales.","En tant qu'écrivain, elle ne rentre dans aucune des catégories traditionnelles.",Als Schriftsteller passt sie in keine der traditionellen Kategorien.
109,I'd like to speak to the manager.,Me gustaría hablar con el gerente.,Je voudrais parler au manager.,Ich möchte mit dem Manager sprechen.
110,She seems to have been ill.,Ella parece haber estado enferma.,Elle semble avoir été malade.,Sie scheint krank gewesen zu sein.
111,Are you sure you didn't do anything?,¿Estás seguro de que no hiciste nada?,Êtes-vous sûr de ne rien faire?,"Bist du sicher, dass du nichts getan hast?"
112,I tried to avoid conflict.,Traté de evitar conflictos.,J'ai essayé d'éviter les conflits.,"Ich habe versucht, Konflikte zu vermeiden."
113,I've been impressed with Tom's work.,Me ha impresionado el trabajo de Tom.,J'ai été impressionné par le travail de Tom.,Ich war beeindruckt von Toms Arbeit.
114,We took turns in washing the car.,Nos turnamos para lavar el auto.,Nous avons tourné à tour de rôle la voiture.,Wir haben uns abwechselnd das Auto gewaschen.
115,I felt my heart beating violently.,Sentí que mi corazón latía violentamente.,J'ai senti mon cœur battre violemment.,"Ich fühlte, wie mein Herz heftig schlug."
116,Do you know who painted this?,¿Sabes quién pintó esto?,Savez-vous qui a peint cela?,"Wissen Sie, wer das gemalt hat?"
117,"As soon as he went out of the house, it began to rain.","Tan pronto como salió de la casa, comenzó a llover.","Dès qu'il est sorti de la maison, il a commencé à pleuvoir.","Sobald er aus dem Haus ging, begann es zu regnen."
118,I yelled for help.,Grité por ayuda.,J'ai crié à l'aide.,Ich schrie um Hilfe.
119,She has no one to talk to.,Ella no tiene a nadie con quien hablar.,Elle n'a personne à qui parler.,"Sie hat niemanden, mit dem sie sprechen kann."
120,How many mosques are there in Istanbul?,¿Cuántas mezquitas hay en Estambul?,Combien de mosquées y a-t-il à Istanbul?,Wie viele Moscheen gibt es in Istanbul?
121,Tom knows that he can win.,Tom sabe que puede ganar.,Tom sait qu'il peut gagner.,"Tom weiß, dass er gewinnen kann."
122,I just met him.,Lo acabo de conocer.,Je viens de le rencontrer.,Ich habe ihn gerade getroffen.
123,I love reading books.,Me encanta leer libros.,J'aime lire des livres.,"Ich liebe, Bücher zu lesen."
124,He looks very worried.,Se ve muy preocupado.,Il a l'air très inquiet.,Er sieht sehr besorgt aus.
125,It's completely irrational.,Es completamente irracional.,C'est complètement irrationnel.,Es ist völlig irrational.
126,We love coffee.,Nos encanta el café.,Nous aimons le café.,Wir lieben Kaffee.
127,Tom wanted to dance with Mary.,Tom quería bailar con Mary.,Tom voulait danser avec Mary.,Tom wollte mit Mary tanzen.
128,I have three dogs. One is male and the other two are female.,Yo tengo tres perros. Uno es hombre y los otros dos son mujeres.,J'ai trois chiens. L'un est un homme et les deux autres sont des femmes.,Ich habe drei Hunde. Einer ist männlich und die anderen beiden sind weiblich.
129,He has been sick for a long time.,Ha estado enfermo durante mucho tiempo.,Il est malade depuis longtemps.,Er ist schon lange krank.
130,I think that's the problem.,Creo que ese es el problema.,Je pense que c'est le problème.,"Ich denke, das ist das Problem."
131,I can't put up with that noise any longer.,Ya no puedo soportar ese ruido.,Je ne peux plus supporter ce bruit.,Ich kann dieses Geräusch nicht länger ertragen.
132,She went with him to Boston.,Ella fue con él a Boston.,Elle est allée avec lui à Boston.,Sie ging mit ihm nach Boston.
133,"The girl wanted to tell him the truth, but she couldn't.","La niña quería decirle la verdad, pero ella no podía.","La fille voulait lui dire la vérité, mais elle ne pouvait pas.","Das Mädchen wollte ihm die Wahrheit sagen, aber sie konnte es nicht."
134,Tom was horrified when he noticed that his daughter had had her tongue pierced.,Tom estaba horrorizado cuando se dio cuenta de que su hija le había perforado la lengua.,Tom a été horrifié quand il a remarqué que sa fille avait fait percer sa langue.,"Tom war entsetzt, als er bemerkte, dass seine Tochter ihre Zunge durchbohrt hatte."
135,Would you like to go to the movies with me?,¿Quieres ir al cine conmigo?,Voulez-vous aller au cinéma avec moi?,Möchtest du mit mir ins Kino gehen?
136,She knew the teen.,Ella conocía a la adolescente.,Elle connaissait l'adolescent.,Sie kannte den Teenager.
137,He asked me for more money than was necessary.,Me pidió más dinero de lo necesario.,Il m'a demandé plus d'argent que nécessaire.,Er fragte mich um mehr Geld als nötig.
138,Tom can go with you if he likes.,Tom puede ir contigo si le gusta.,Tom peut vous accompagner s'il le aime.,"Tom kann mit dir gehen, wenn er mag."
139,You know where to find me.,Sabes donde encontrarme.,Tu sais où me trouver.,Du weißt wo du mich findest.
140,I'll go look.,Iré a buscar.,Je vais aller chercher.,Ich werde schauen.
141,They wake up at six every morning.,Se despiertan a las seis todas las mañanas.,Ils se réveillent à six jours tous les matins.,Sie wachen jeden Morgen um sechs auf.
142,"Yesterday was Sunday, not Saturday.","Ayer fue el domingo, no el sábado.","Hier était dimanche, pas samedi.","Gestern war Sonntag, nicht Samstag."
143,Where are the showers?,¿Dónde están las duchas?,Où sont les douches?,Wo sind die Duschen?
144,We've all been here before.,Todos hemos estado aquí antes.,Nous avons tous déjà été ici.,Wir waren alle schon einmal hier.
145,Wouldn't you rather sit by the window?,¿No preferirías sentarte junto a la ventana?,Ne préférez-vous pas vous asseoir près de la fenêtre?,Würdest du nicht lieber am Fenster sitzen?
146,Tom is too young to peel an apple.,Tom es demasiado joven para pelar una manzana.,Tom est trop jeune pour peler une pomme.,"Tom ist zu jung, um einen Apfel zu schälen."
147,Did you help?,¿Ayudaste?,Avez-vous aidé?,Hast du geholfen?
148,A lot of soldiers were killed here.,Muchos soldados fueron asesinados aquí.,Beaucoup de soldats ont été tués ici.,Viele Soldaten wurden hier getötet.
149,I'm sorry I yelled at you.,Lamento haberte gritado.,Je suis désolé de vous crier dessus.,"Es tut mir leid, dass ich dich angeschrien habe."
150,That didn't go very well.,Eso no fue muy bien.,Cela ne s'est pas très bien passé.,Das lief nicht sehr gut.
151,I'm going downtown.,Voy al centro.,Je vais au centre-ville.,Ich gehe in die Innenstadt.
152,I haven't renewed my subscription.,No he renovado mi suscripción.,Je n'ai pas renouvelé mon abonnement.,Ich habe mein Abonnement nicht erneuert.
153,"To my surprise, he refused my offer.","Para mi sorpresa, rechazó mi oferta.","À ma grande surprise, il a refusé mon offre.",Zu meiner Überraschung lehnte er mein Angebot ab.
154,He took a room at the Yaesu Hotel.,Tomó una habitación en el Hotel Yaesu.,Il a pris une chambre à l'hôtel Yaesu.,Er nahm ein Zimmer im Yaesu Hotel.
155,Everything changes.,Todo cambia.,Tout change.,Alles ändert sich.
156,You don't kick a man when he's down.,No pateas a un hombre cuando está deprimido.,Vous ne donnez pas un coup de pied à un homme quand il est en panne.,"Sie treten keinen Mann, wenn er unten ist."
157,"That's useful, isn't it?","Eso es útil, ¿no?","C'est utile, non?","Das ist nützlich, nicht wahr?"
158,I'm glad that makes you happy.,Me alegro de que te haga feliz.,Je suis content que cela vous rend heureux.,"Ich bin froh, dass dich das glücklich macht."
159,That's not what I meant.,Eso no es lo que quise decir.,Ce n'est pas ce que je voulais dire.,"Das ist nicht das, was ich meinte."
160,He's a tennis player.,Es un jugador de tenis.,C'est un joueur de tennis.,Er ist ein Tennisspieler.
161,What have we done to be punished like this?,¿Qué hemos hecho para ser castigados así?,Qu'avons-nous fait pour être puni comme ça?,"Was haben wir getan, um so bestraft zu werden?"
162,Curiosity killed the cat.,La curiosidad mató al gato.,La curiosité a tué le chat.,Neugier ist der Katze Tod.
163,How old is your grandfather?,¿Que edad tiene tu abuelo?,Quel âge a votre grand-père?,Wie alt ist Dein großvater?
164,Tom filled the bucket with ice.,Tom llenó el cubo con hielo.,Tom a rempli le seau de glace.,Tom füllte den Eimer mit Eis.
165,Indonesia frequently experiences earthquakes.,Indonesia con frecuencia experimenta terremotos.,L'Indonésie subit souvent des tremblements de terre.,Indonesien erlebt häufig Erdbeben.
166,I'm already done.,Ya he terminado.,J'ai déjà terminé.,Ich bin schon fertig.
167,I beg you.,Te lo ruego.,Je t'en supplie.,Ich bitte dich.
168,Are you going to help us tomorrow morning?,¿Nos vas a ayudar mañana por la mañana?,Allez-vous nous aider demain matin?,Wirst du uns morgen früh helfen?
169,Everyone's fine.,Todos están bien.,Tout le monde va bien.,Allen geht es gut.
170,I'm going to wait in the car.,Voy a esperar en el auto.,Je vais attendre dans la voiture.,Ich werde im Auto warten.
171,I'll be in town.,Estaré en la ciudad.,Je serai en ville.,Ich werde in der Stadt sein.
172,"Keep to the left, please.","Manténgase a la izquierda, por favor.","Gardez à gauche, s'il vous plaît.",Bleiben Sie bitte links.
173,We didn't intend to attack him.,No teníamos la intención de atacarlo.,Nous n'avions pas l'intention de l'attaquer.,Wir wollten ihn nicht angreifen.
174,He disappeared in the crowd.,Desapareció en la multitud.,Il a disparu dans la foule.,Er verschwand in der Menge.
175,I know where they're going.,Sé a dónde van.,Je sais où ils vont.,"Ich weiß, wohin sie gehen."
176,It's up to you to decide whether or not to go.,Depende de usted decidir si ir o no.,C'est à vous de décider de partir ou non.,"Es liegt an Ihnen zu entscheiden, ob Sie gehen sollen oder nicht."
177,Please wake me up at seven tomorrow morning.,"Por favor, despiertame a las siete mañana por la mañana.","S'il vous plaît, réveillez-moi à sept ans demain matin.",Bitte weck mich morgen früh um sieben.
178,I wonder what Tom actually thinks.,Me pregunto qué piensa Tom realmente.,Je me demande ce que Tom pense réellement.,"Ich frage mich, was Tom tatsächlich denkt."
179,It's too cold.,Esta muy frío.,Il fait trop froid.,Es ist zu kalt.
180,I have no idea who that is either.,Tampoco tengo idea de quién es.,Je n'ai aucune idée de qui c'est non plus.,"Ich habe keine Ahnung, wer das ist."
181,Tom speaks two foreign languages.,Tom habla dos idiomas extranjeros.,Tom parle deux langues étrangères.,Tom spricht zwei Fremdsprachen.
182,I'm shaken.,Estoy sacudido.,Je suis secoué.,Ich bin erschüttert.
183,It's an easy victory.,Es una victoria fácil.,C'est une victoire facile.,Es ist ein einfacher Sieg.
184,When was your last day off?,¿Cuándo fue tu último día libre?,Quand a été votre dernier jour de congé?,Wann war dein letzter Tag frei?
185,It's all over now.,Todo ha terminado ahora.,Tout est fini maintenant.,Es ist jetzt alles vorbei.
186,Tom is a lot older than us.,Tom es mucho mayor que nosotros.,Tom est beaucoup plus âgé que nous.,Tom ist viel älter als wir.
187,I just didn't believe it.,Simplemente no lo creí.,Je ne le croyais tout simplement pas.,Ich habe es einfach nicht geglaubt.
188,He needs to be alone.,Necesita estar solo.,Il a besoin d'être seul.,Er muss allein sein.
189,Don't interrupt me! Can't you see I am talking?,¡No me interrumpas! ¿No ves que estoy hablando?,Ne m'interrompez pas! Tu ne vois pas que je parle?,"Unterbrechen Sie mich nicht! Kannst du nicht sehen, dass ich rede?"
190,Aren't you interested in foreign languages?,¿No estás interesado en idiomas extranjeros?,N'êtes-vous pas intéressé par les langues étrangères?,Interessieren Sie sich nicht für Fremdsprachen?
191,I can't agree more.,No puedo estar más de acuerdo.,Je ne peux pas être plus d'accord.,Ich kann nicht mehr zustimmen.
192,"Thanks to my mother's help, I was able to buy a mountain bike.","Gracias a la ayuda de mi madre, pude comprar una bicicleta de montaña.","Grâce à l'aide de ma mère, j'ai pu acheter un vélo de montagne.",Dank der Hilfe meiner Mutter konnte ich ein Mountainbike kaufen.
193,"Seen from a distance, it looks like a ball.","Visto desde la distancia, parece una pelota.","Vu à distance, il ressemble à une balle.",Aus der Ferne sieht es aus wie ein Ball.
194,I love teaching.,Me encanta enseñar.,J'adore enseigner.,Ich liebe es zu unterrichten.
195,I need thread to sew on this button.,Necesito hilo para coser este botón.,J'ai besoin de fil pour coudre ce bouton.,"Ich brauche Faden, um diesen Knopf zu nähen."
196,He set fire to the school building.,Puso fuego al edificio de la escuela.,Il a mis le feu au bâtiment de l'école.,Er legte das Schulgebäude in Brand.
197,Tom may never be able to walk again.,Es posible que Tom nunca pueda volver a caminar.,Tom ne pourra peut-être plus jamais marcher.,Tom kann vielleicht nie wieder laufen.
198,I'm reading this book.,Estoy leyendo este libro.,Je lis ce livre.,Ich lese dieses Buch.
199,"The Tigers lost the game, which was a surprise to us.","Los Tigres perdieron el juego, lo cual fue una sorpresa para nosotros.","Les Tigers ont perdu le match, ce qui a été une surprise pour nous.","Die Tiger verloren das Spiel, was für uns eine Überraschung war."
